SYMBOL,DATE,FORECAST_CLOSE
NYT,10/12/2024,55.41094185
NYT,10/13/2024,55.41926608
NYT,10/14/2024,55.3142171
NYT,10/15/2024,55.35068482
NYT,10/16/2024,55.34995374
NYT,10/17/2024,55.3721552
NYT,10/18/2024,55.3557533
NYT,10/19/2024,55.3589008
NYT,10/20/2024,55.35446191
NYT,10/21/2024,55.35960268
SBUX,10/12/2024,95.41059719
SBUX,10/13/2024,95.53300184
SBUX,10/14/2024,95.81971854
SBUX,10/15/2024,95.45273261
SBUX,10/16/2024,95.5632869
SBUX,10/17/2024,95.52228627
SBUX,10/18/2024,95.48861687
SBUX,10/19/2024,95.56037196
SBUX,10/20/2024,95.5239179
SBUX,10/21/2024,95.53850375
